datetime,wind_speed,rotor_speed,generator_speed,gear_ratio_calc,power_output,operating_regime,pitch_reliable,cp_estimated,generator_temperature,blade_pitch_deg,supply_voltage,relative_wind_direction,yaw_offset,turbine_status
2025-01-15 06:10:10.000+05:30,3.0,32.82,395.64,12.054844606946983,0.53,below_rated,True,0.2452091717697449,20.59,14.0,27.9,-30,0,10
2025-01-15 06:10:11.000+05:30,3.1,33.73,408.06,12.0978357545212,0.19,below_rated,True,0.07966968947686437,19.92,14.0,27.9,5,0,10
2025-01-15 06:10:12.000+05:30,3.0,34.26,414.32,12.093403385872739,0.39,below_rated,True,0.18043693771735944,19.64,13.72,27.9,26,0,10
2025-01-15 06:10:13.000+05:30,3.0,32.26,383.04,11.8735275883447,0.52,below_rated,True,0.24058258362314594,19.09,13.8,27.9,20,0,10
2025-01-15 06:10:14.000+05:30,3.0,34.76,415.71,11.959436133486767,0.35,below_rated,True,0.16193058513096362,18.45,13.87,27.8,11,0,10
2025-01-15 06:10:15.000+05:30,3.23,35.11,427.52,12.176587866704642,0.59,below_rated,True,0.21871020600353555,17.63,13.69,27.9,-4,0,10
2025-01-15 06:10:16.000+05:30,3.3,36.45,433.96,11.905624142661178,0.77,below_rated,True,0.267653859720601,16.58,13.58,27.9,10,0,10
2025-01-15 06:10:17.000+05:30,3.15,34.97,419.34,11.991421218187018,0.42,below_rated,True,0.16785807334599404,15.96,13.53,27.9,-27,0,10
2025-01-15 06:10:18.000+05:30,3.0,35.34,424.6,12.014714204867007,0.26,below_rated,True,0.12029129181157297,15.53,12.0,27.9,-3,0,10
2025-01-15 06:10:19.000+05:30,3.15,34.92,419.55,12.014604810996563,0.41,below_rated,True,0.1638614525520418,15.1,12.14,27.9,2,0,10
2025-01-15 06:10:20.000+05:30,3.0,33.0,393.95,11.937878787878788,0.37,below_rated,True,0.17118376142416153,15.17,12.45,27.9,6,0,10
2025-01-15 06:10:21.000+05:30,3.2,33.88,412.6,12.17827626918536,0.59,below_rated,True,0.22491927848914006,14.53,12.42,27.9,-25,0,10
